Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Open Price,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Divergence Start/End (Date and Price [$]),Divergence Duration (days) (Max/Min/Avg),"Sigmashell, Success Rate of Past Analysis [%]",Spread,"Divergence observed with, Signal Type","Divergence Start (Date, Price)"
FRACTAL TRACK,"BTI, Long, 2026-05-08 (Price: 58.28)",No Exit Yet,"0.0%, 0 days","92.31%, Past 20 years, 13","Weekly, is CONFIRMED on 2026-05-08",Already confirmed,"2026-05-08 (Price: 58.28), 0.0% below",0 days,58.54,Upmove Bounce Back,23.66% (Price: 54.9461),6.07% above,"2024-04-21 (Price: 28.25), 2026-03-01 (Price: 63.22)",18.23%/0.47%/14.35%,"9.4%, 36.12%",3.2 years/3.3 months/1.4 year,2030-12-01/2026-09-28/2028-05-05,7.57%,2.98%,4.59%,0.67,0.12,63.2513/66.6432/79.26/59.135/79.4263/92.0024/No EMA 200 Target,56.68/28.5067/53.9498/50.4772/54.9461/49.8615/56.68,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information
FRACTAL TRACK,"RELIANCE.NS, Long, 2026-04-26 (Price: 1327.8)",No Exit Yet,"8.09%, 12 days","91.3%, Past 20 years, 23","Weekly, was CONFIRMED on 2026-04-26",Already confirmed,"2026-05-08 (Price: 1435.2), 8.09% above",12 days,1363.2,Upmove Bounce Back,61.8% (Price: 1304.6849),10.0% above,"2025-04-13 (Price: 1114.85), 2026-01-11 (Price: 1611.8)",23.63%/4.72%/16.53%,"1.69%, 20.86%",2.6 years/14 days/6.7 months,2030-01-10/2026-05-16/2027-02-11,15.03%,9.05%,5.98%,1.32,0.46,1418.0904/1547.2853/1625.97/1610.3/1879.7264/2065.5547/1434.58,1200.1/1024.7604/1288.3015/1032.6763/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information
FRACTAL TRACK,"BABA, Long, 2026-04-26 (Price: 135.82)",No Exit Yet,"3.12%, 12 days","100.0%, Past 11 years, 9","Weekly, was CONFIRMED on 2026-04-26",Already confirmed,"2026-05-08 (Price: 140.06), 3.12% above",12 days,140.465,Upmove Bounce Back,38.2% (Price: 117.1824),19.52% above,"2024-01-28 (Price: 66.63), 2025-03-23 (Price: 148.43)",32.92%/16.45%/22.55%,"-0.0%, 31.31%",1.2 year/1.6 month/5.5 months,2028-01-11/2026-07-04/2026-12-20,16.77%,2.08%,14.69%,1.15,0.18,148.7365/166.4474/184.9/181.595/399.1612/524.2534/148.68,122.05/67.495/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information
FRACTAL TRACK,"MSFT, Long, 2026-04-19 (Price: 422.79)",No Exit Yet,"-1.81%, 19 days","100.0%, Past 20 years, 15","Weekly, was CONFIRMED on 2026-04-19",Already confirmed,"2026-05-08 (Price: 415.12), 1.81% below",19 days,373.61,Upmove Bounce Back,38.2% (Price: 348.9484),18.96% above,"2009-03-08 (Price: 14.87), 2025-08-03 (Price: 555.45)",19.95%/6.95%/15.48%,"-0.0%, 28.45%",1.5 year/1.4 month/9.3 months,2028-06-09/2026-06-18/2027-05-28,11.25%,10.58%,0.67%,1.87,0.58,451.6243/488.2379/747.14/554.585/553.3726/615.9924/465.66,356.77/216.39/386.873/350.287/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information
FRACTAL TRACK,"GBPUSD=X, Long, 2026-04-19 (Price: 1.3516)",No Exit Yet,"0.86%, 19 days","100.0%, Past 20 years, 13","Weekly, was CONFIRMED on 2026-04-19",Already confirmed,"2026-05-08 (Price: 1.3632), 0.86% above",19 days,1.339,Upmove Bounce Back,50% (Price: 1.343),1.5% above,"2025-11-09 (Price: 1.3012), 2026-02-01 (Price: 1.3847)",2.17%/1.1%/1.64%,"-0.0%, 8.98%",2.9 years/7.9 months/1.8 year,2030-06-09/2027-03-28/2028-11-12,3.11%,-1.16%,4.27%,-0.32,-0.6,No Target/1.3738/1.4/1.364/2.4421/3.2078/No EMA 200 Target,1.32/1.1912/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/1.34,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information
FRACTAL TRACK,"DIA, Long, 2026-04-19 (Price: 494.22)",No Exit Yet,"0.39%, 19 days","94.74%, Past 20 years, 19","Weekly, was CONFIRMED on 2026-04-19",Already confirmed,"2026-05-08 (Price: 496.13), 0.39% above",19 days,476.1,Upmove Bounce Back,38.2% (Price: 452.2096),9.71% above,"2025-04-13 (Price: 366.32), 2026-02-15 (Price: 505.3)",16.79%/0.88%/14.81%,"1.69%, 17.57%",2.3 years/4 months/1 year,2029-07-29/2026-10-09/2027-09-22,10.78%,5.25%,5.53%,1.49,0.27,537.2666/567.414/577.61/No Horizontal Resistance/538.1343/826.9871/No EMA 200 Target,451.39/321.6725/359.6128/249.2814/No F-Track Level/No F-Track Level/473.48,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information
FRACTAL TRACK,"GILD, Long, 2026-04-19 (Price: 137.64)",No Exit Yet,"-4.58%, 19 days","77.78%, Past 20 years, 9","Weekly, was CONFIRMED on 2026-04-19",Already confirmed,"2026-05-08 (Price: 131.33), 4.58% below",19 days,137.99,Upmove Bounce Back,23.66% (Price: 134.7609),2.55% below,"2024-06-02 (Price: 62.07), 2026-02-15 (Price: 157.29)",18.17%/15.12%/16.36%,"14.97%, 50.63%",9.3 years/1.9 month/3.1 years,2039-07-29/2026-07-10/2030-09-21,2.03%,8.23%,-6.2%,-0.14,0.43,No Target/160.1579/194.77/No Horizontal Resistance/154.7608/163.0355/No EMA 200 Target,134.25/57.18/121.083/104.5806/No F-Track Level/No F-Track Level/127.39,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information
FRACTAL TRACK,"AIA.NZ, Long, 2026-04-19 (Price: 8.18)",No Exit Yet,"2.08%, 19 days","93.75%, Past 20 years, 16","Weekly, was CONFIRMED on 2026-04-19",Already confirmed,"2026-05-08 (Price: 8.35), 2.08% above",19 days,8.25,Upmove Bounce Back,78.6% (Price: 7.7534),7.69% above,"2025-07-20 (Price: 7.365), 2026-03-01 (Price: 9.18)",20.53%/2.63%/14.41%,"4.23%, 18.81%",2.3 years/2.1 months/1.1 year,2029-07-29/2026-07-19/2027-11-13,8.91%,4.78%,4.13%,0.79,0.23,8.571/9.3587/9.27/8.953/11.1706/12.8535/No EMA 200 Target,7.97/7.0/7.3934/6.6643/No F-Track Level/No F-Track Level/8.1,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information
FRACTAL TRACK,"FRW.NZ, Long, 2026-04-19 (Price: 12.25)",No Exit Yet,"5.31%, 19 days","100.0%, Past 20 years, 14","Weekly, was CONFIRMED on 2026-04-19",Already confirmed,"2026-05-08 (Price: 12.9), 5.31% above",19 days,12.92,Upmove Bounce Back,23.66% (Price: 12.0583),6.98% above,"2003-10-19 (Price: 1.76), 2026-02-15 (Price: 15.25)",20.66%/2.33%/13.82%,"0%, 39.81%",3.7 years/3.7 months/1.1 year,2031-07-31/2026-09-26/2027-11-13,9.27%,4.4%,4.87%,1.81,0.2,12.4938/13.9429/20.34/14.94/16.2179/21.849/13.28,10.0/7.405/11.0078/7.8689/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information
FRACTAL TRACK,"BDL.NS, Long, 2026-04-19 (Price: 1380.7)",No Exit Yet,"4.92%, 19 days","85.71%, Past 8 years, 7","Weekly, was CONFIRMED on 2026-04-19",Already confirmed,"2026-05-08 (Price: 1448.6), 4.92% above",19 days,1316.0,Upmove Bounce Back,61.8% (Price: 1079.0012),34.25% above,"2023-10-29 (Price: 450.0), 2025-06-01 (Price: 2096.6001)",25.67%/16.13%/20.09%,"7.93%, 41.95%",5.8 months/1.6 month/3.9 months,2026-12-27/2026-06-27/2026-10-05,11.07%,18.53%,-7.46%,0.58,0.79,1554.3921/1658.0826/2368.66/1627.1/2336.9032/2616.0038/1452.7,1136.9/184.5375/1355.4768/1101.1152/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information
