Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Open Price,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Divergence Start/End (Date and Price [$]),Divergence Duration (days) (Max/Min/Avg),"Sigmashell, Success Rate of Past Analysis [%]",Spread,"Divergence observed with, Signal Type","Divergence Start (Date, Price)"
FRACTAL TRACK,"BDL.NS, Long, 2026-04-19 (Price: 1380.7)",No Exit Yet,"-5.14%, 2 months","85.71%, Past 8 years, 7","Weekly, was CONFIRMED on 2026-04-19",Already confirmed,"2026-06-17 (Price: 1309.8), 5.14% below",2 months,1316.0,Upmove Bounce Back,61.8% (Price: 1079.0012),21.39% above,"2023-10-29 (Price: 450.0), 2025-06-01 (Price: 2096.6001)",25.67%/16.13%/20.09%,"7.93%, 41.95%",5.8 months/1.6 month/3.9 months,2026-12-27/2026-06-27/2026-10-05,11.07%,18.53%,-7.46%,0.58,0.79,1554.3921/1658.0826/2368.66/1627.1/2336.9032/2616.0038/1405.59,1136.9/184.5375/1355.4768/1101.1152/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information
FRACTAL TRACK,"BRK-B, Long, 2026-04-12 (Price: 479.9)",No Exit Yet,"2.37%, 2.2 months","95.65%, Past 20 years, 23","Weekly, was CONFIRMED on 2026-04-12",Already confirmed,"2026-06-17 (Price: 491.28), 2.37% above",2.2 months,475.66,Upmove Bounce Back,61.8% (Price: 478.7441),2.62% above,"2025-08-10 (Price: 455.19), 2025-11-30 (Price: 516.85)",19.45%/0.58%/14.32%,"0.28%, 26.48%",2.7 years/2.3 months/8.9 months,2030-02-17/2026-07-20/2027-05-03,11.09%,7.45%,3.64%,1.52,0.41,518.6279/548.6217/516.9/512.2133/630.85/709.9376/490.31,468.49/268.082/449.7662/405.99/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information
FRACTAL TRACK,"EFN.TO, Long, 2026-04-12 (Price: 32.09)",No Exit Yet,"-12.78%, 2.2 months","90.0%, Past 20 years, 10","Weekly, was CONFIRMED on 2026-04-12",Already confirmed,"2026-06-17 (Price: 27.99), 12.78% below",2.2 months,30.62,Upmove Bounce Back,23.66% (Price: 29.9672),6.6% below,"2018-03-18 (Price: 3.21), 2025-11-02 (Price: 38.26)",27.12%/15.11%/17.81%,"4.16%, 79.1%",4.3 years/2.6 months/1 year,2032-06-01/2026-08-02/2027-09-15,7.3%,9.59%,-2.29%,0.41,0.48,35.7836/37.8052/53.12/34.925/45.1741/70.5281/33.69,30.11/12.67/29.5041/No stop loss/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information
FRACTAL TRACK,"JPM, Long, 2026-03-29 (Price: 282.84)",2026-06-17 (Price: 333.46),"17.9%, 2.7 months","94.12%, Past 20 years, 17","Weekly, was CONFIRMED on 2026-03-29",Already confirmed,"2026-06-17 (Price: 333.46), 17.9% above",2.7 months,294.31,Upmove Bounce Back,23.66% (Price: 281.4195),18.49% above,"2022-10-16 (Price: 101.28), 2026-01-11 (Price: 337.25)",22.26%/15.01%/16.94%,"6.94%, 37.49%",2.2 years/7 days/9.3 months,2029-05-19/2026-04-08/2027-05-07,13.23%,7.03%,6.2%,1.72,0.36,313.7261/330.7531/424.42/No Horizontal Resistance/328.9175/381.492/306.97,210.28/125.7575/275.691/208.1524/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information
FRACTAL TRACK,"MSFT, Long, 2026-03-15 (Price: 395.55)",No Exit Yet,"-4.21%, 3.1 months","100.0%, Past 20 years, 15","Weekly, was CONFIRMED on 2026-03-15",Already confirmed,"2026-06-17 (Price: 378.91), 4.21% below",3.1 months,404.92,Upmove Bounce Back,38.2% (Price: 379.1608),0.07% below,"2018-12-30 (Price: 93.96), 2025-08-03 (Price: 555.45)",19.95%/6.95%/15.48%,"-0.0%, 28.45%",1.5 year/1.4 month/9.3 months,2028-05-05/2026-05-14/2027-04-23,11.25%,10.58%,0.67%,1.87,0.58,422.5265/456.7811/672.44/554.585/553.3726/615.9924/451.98,392.74/216.39/386.873/350.287/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information
FRACTAL TRACK,"NFLX, Long, 2026-03-15 (Price: 95.31)",No Exit Yet,"-19.25%, 3.1 months","100.0%, Past 20 years, 12","Weekly, was CONFIRMED on 2026-03-15",Already confirmed,"2026-06-17 (Price: 76.96), 19.25% below",3.1 months,97.7,Upmove Bounce Back,50% (Price: 75.193),2.35% above,"2022-05-15 (Price: 16.271), 2025-07-06 (Price: 134.115)",29.59%/15.11%/21.13%,"-0.0%, 70.87%",2.7 years/21 days/10 months,2030-01-20/2026-04-14/2027-05-23,16.94%,20.5%,-3.56%,1.94,0.85,116.9454/115.449/166.02/No Horizontal Resistance/139.352/152.4292/98.57,76.87/34.8663/86.4764/77.567/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information
FRACTAL TRACK,"CEN.NZ, Long, 2026-03-08 (Price: 9.4)",2026-06-14 (Price: 9.55),"1.6%, 3.3 months","84.62%, Past 20 years, 13","Weekly, was CONFIRMED on 2026-03-08",Already confirmed,"2026-06-17 (Price: 9.66), 2.77% above",3.4 months,9.25,Upmove Bounce Back,38.2% (Price: 9.1207),5.91% above,"2024-09-29 (Price: 7.86), 2025-11-30 (Price: 9.9)",20.53%/10.13%/16.11%,"6.36%, 45.18%",11.3 years/6.5 months/3.9 years,2042-04-25/2026-12-15/2031-10-01,3.06%,1.18%,1.88%,-0.01,-0.02,9.7638/10.9143/10.62/9.85/11.2606/15.4512/No EMA 200 Target,9.25/6.86/8.6706/No stop loss/No F-Track Level/No F-Track Level/9.37,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information
FRACTAL TRACK,"RELIANCE.NS, Long, 2026-02-22 (Price: 1419.4)",No Exit Yet,"-6.11%, 3.8 months","91.3%, Past 20 years, 23","Weekly, was CONFIRMED on 2026-02-22",Already confirmed,"2026-06-17 (Price: 1332.7), 6.11% below",3.8 months,1420.1,Upmove Bounce Back,23.66% (Price: 1325.1633),0.57% above,"2020-03-29 (Price: 400.3177), 2026-01-11 (Price: 1611.8)",23.63%/4.72%/16.53%,"1.69%, 20.86%",2.6 years/14 days/6.7 months,2029-11-08/2026-03-14/2026-12-10,15.03%,9.05%,5.98%,1.32,0.46,1515.9192/1654.0268/2146.29/1610.3/1879.7264/2065.5547/1422.75,1386.1/1006.0696/1375.0525/1288.3015/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information
FRACTAL TRACK,"EFN.TO, Long, 2026-02-08 (Price: 35.44)",No Exit Yet,"-21.02%, 4.3 months","90.0%, Past 20 years, 10","Weekly, was CONFIRMED on 2026-02-08",Already confirmed,"2026-06-17 (Price: 27.99), 21.02% below",4.3 months,34.42,Upmove Bounce Back,38.2% (Price: 33.1947),15.68% below,"2025-02-09 (Price: 25.0), 2025-11-02 (Price: 38.26)",27.12%/15.11%/17.81%,"4.16%, 79.1%",4.3 years/2.6 months/1 year,2032-03-30/2026-05-31/2027-07-14,7.3%,9.59%,-2.29%,0.41,0.48,39.5191/41.7519/43.4/No Horizontal Resistance/45.1741/70.5281/No EMA 200 Target,34.35/12.67/29.5041/No stop loss/No F-Track Level/No F-Track Level/33.69,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information
FRACTAL TRACK,"BABA, Long, 2026-01-25 (Price: 173.23)",No Exit Yet,"-37.98%, 4.8 months","100.0%, Past 11 years, 9","Weekly, was CONFIRMED on 2026-01-25",Already confirmed,"2026-06-17 (Price: 107.44), 37.98% below",4.8 months,161.83,Upmove Bounce Back,38.2% (Price: 144.5227),25.66% below,"2024-01-28 (Price: 66.63), 2025-10-05 (Price: 192.67)",32.92%/16.45%/22.55%,"-0.0%, 31.31%",1.2 year/1.6 month/5.5 months,2027-10-12/2026-04-04/2026-09-20,16.77%,2.08%,14.69%,1.15,0.18,189.7042/212.2934/248.85/No Horizontal Resistance/399.1612/524.2534/No EMA 200 Target,149.79/67.495/144.416/No stop loss/No F-Track Level/No F-Track Level/149.34,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information
FRACTAL TRACK,"KWEB, Long, 2026-01-18 (Price: 35.71)",No Exit Yet,"-28.93%, 5 months","100.0%, Past 12 years, 9","Weekly, was CONFIRMED on 2026-01-18",Already confirmed,"2026-06-17 (Price: 25.38), 28.93% below",5 months,36.765,Upmove Bounce Back,38.2% (Price: 33.3776),23.96% below,"2022-10-30 (Price: 17.22), 2025-10-05 (Price: 43.365)",30.12%/15.07%/18.79%,"-0.0%, 42.44%",2.3 years/1.6 month/9.6 months,2029-04-29/2026-03-28/2027-03-11,12.25%,0.44%,11.81%,1.18,0.07,No Target/42.4199/51.4/54.865/112.1402/127.8094/No EMA 200 Target,34.83/24.5062/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/34.16,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information
FRACTAL TRACK,"BDL.NS, Long, 2026-01-04 (Price: 1495.0)",No Exit Yet,"-12.39%, 5.5 months","85.71%, Past 8 years, 7","Weekly, was CONFIRMED on 2026-01-04",Already confirmed,"2026-06-17 (Price: 1309.8), 12.39% below",5.5 months,1498.0,Upmove Bounce Back,38.2% (Price: 1323.4512),1.03% below,"2020-03-29 (Price: 72.65), 2025-06-01 (Price: 2096.6001)",25.67%/16.13%/20.09%,"7.93%, 41.95%",5.8 months/1.6 month/3.9 months,2026-09-13/2026-03-14/2026-06-22,11.07%,18.53%,-7.46%,0.58,0.79,1683.071/1795.3455/2709.37/1643.7/2355.3598/2625.1645/No EMA 200 Target,1373.1/184.5375/1479.6462/1355.4768/No F-Track Level/No F-Track Level/1405.59,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information
FRACTAL TRACK,"TRI.TO, Long, 2025-12-28 (Price: 181.76)",No Exit Yet,"-38.35%, 5.7 months","92.31%, Past 20 years, 13","Weekly, was CONFIRMED on 2025-12-28",Already confirmed,"2026-06-17 (Price: 112.06), 38.35% below",5.7 months,182.27,Upmove Bounce Back,88.6% (Price: 178.5402),37.24% below,"2023-10-29 (Price: 163.01), 2025-07-20 (Price: 299.24)",17.45%/1.4%/11.27%,"1.51%, 22.04%",1.5 year/1.6 month/5.6 months,2028-02-18/2026-03-07/2026-08-28,8.85%,4.54%,4.31%,0.91,0.21,213.0772/202.2444/263.5/240.8933/293.2329/455.2123/No EMA 200 Target,179.89/116.89/131.2534/93.0152/No F-Track Level/No F-Track Level/163.89,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information
FRACTAL TRACK,"BTC-USD, Long, 2025-12-07 (Price: 90405.6406)",No Exit Yet,"-27.32%, 6.4 months","83.33%, Past 11 years, 6","Weekly, was CONFIRMED on 2025-12-07",Already confirmed,"2026-06-17 (Price: 65706.6172), 27.32% below",6.4 months,90389.1094,Upmove Bounce Back,38.2% (Price: 79559.2742),17.41% below,"2020-03-15 (Price: 4106.981), 2025-10-12 (Price: 126198.0703)",23.7%/15.62%/20.0%,"5.43%, 65.2%",2 years/14 days/6.6 months,2028-10-14/2025-12-27/2026-09-19,17.51%,37.63%,-20.12%,0.97,1.37,No Target/108486.7687/163660.29/124582.2656/128919.9935/139224.439/No EMA 200 Target,86805.01/18304.4229/89236.7557/81023.3741/No F-Track Level/No F-Track Level/78556.67,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information
FRACTAL TRACK,"CRM, Long, 2025-12-07 (Price: 260.57)",No Exit Yet,"-40.51%, 6.4 months","96.15%, Past 20 years, 26","Weekly, was CONFIRMED on 2025-12-07",Already confirmed,"2026-06-17 (Price: 155.02), 40.51% below",6.4 months,228.67,Upmove Bounce Back,61.8% (Price: 219.0361),29.23% below,"2022-12-25 (Price: 126.34), 2024-12-08 (Price: 369.0)",20.66%/6.06%/15.55%,"5.25%, 41.38%",1.4 year/2.3 months/6.4 months,2027-12-05/2026-03-16/2026-09-11,15.57%,11.74%,3.83%,1.41,0.56,No Target/301.0886/406.17/368.045/354.7868/402.2468/No EMA 200 Target,227.11/156.1/253.2538/209.3181/No F-Track Level/No F-Track Level/216.88,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information,No Information
